Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 0-0, 0-0 Elise Wagle Serving",1,1,1,Elise Wagle,Sara Svetac,0-0,0-0,0-0,,Deuce,Elise Wagle,Sara Svetac,18543,46619,,Elise Wagle,12,9 - 12,1,0,1st Serve In,Body,Body,,False,Down the Line,Backhand,Net,,Crosscourt,Backhand,Sara Svetac,Error,False,,,0,0,0,0,0,0,,,1st Serve In,Deuce: Body,,,,,,,,Down the Line,Backhand,Crosscourt,Backhand,Error,,Arizona State
"Set 1: 0-0, 15-0 Elise Wagle Serving",2,1,1,Elise Wagle,Sara Svetac,15-0,0-0,0-0,,Ad,Elise Wagle,Sara Svetac,71625,81335,,Sara Svetac,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Crosscourt,Forehand,Long,,Crosscourt,Backhand,Elise Wagle,Error,False,,,0,0,0,0,15,0,,,1st Serve In,Ad: Body,,,Crosscourt,Backhand,Error,,,Crosscourt,Forehand,,,,,Arizona State
"Set 1: 0-0, 15-15 Elise Wagle Serving",3,1,1,Elise Wagle,Sara Svetac,15-15,0-0,0-0,,Deuce,Elise Wagle,Sara Svetac,98122,119697,,Elise Wagle,13,13 +,1,0,1st Serve In,Body,Body,,False,Crosscourt,Backhand,,,Down the Line,Forehand,Elise Wagle,Winner,False,,,0,0,0,0,15,15,,,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Winner,,,Crosscourt,Backhand,,,,,Arizona State
"Set 1: 0-0, 30-15 Elise Wagle Serving",4,1,1,Elise Wagle,Sara Svetac,30-15,0-0,0-0,,Ad,Elise Wagle,Sara Svetac,142390,157322,,Elise Wagle,6,5 - 8,1,0,1st Serve In,Body,Body,,False,Down the Line,Backhand,Net,,Crosscourt,Backhand,Sara Svetac,Error,False,,,0,0,0,0,30,15,,,1st Serve In,Ad: Body,,,,,,,,Down the Line,Backhand,Crosscourt,Backhand,Error,,Arizona State
"Set 1: 0-0, 40-15 Elise Wagle Serving",5,1,1,Elise Wagle,Sara Svetac,40-15,0-0,0-0,,Deuce,Elise Wagle,Sara Svetac,177440,199875,,Elise Wagle,6,5 - 8,0,1,2nd Serve In,Body,T,Body,False,Down the Line,Forehand,Wide Right,,Crosscourt,Backhand,Sara Svetac,Error,False,,,0,0,0,0,40,15,,,2nd Serve In,Deuce: Body,,,,,,,,Down the Line,Forehand,Crosscourt,Backhand,Error,,Arizona State
"Set 1: 1-0, 0-0 Sara Svetac Serving",6,1,2,Elise Wagle,Sara Svetac,0-0,1-0,0-0,,Deuce,Sara Svetac,Elise Wagle,262046,289247,,Elise Wagle,4,1 - 4,0,1,2nd Serve In,Body,T,Body,False,Down the Line,Forehand,,,Crosscourt,Backhand,Elise Wagle,Winner,False,Elise Wagle,,0,0,1,0,0,0,,,,,Down the Line,Forehand,Crosscourt,Backhand,Winner,2nd Serve In,Deuce: Body,,,,,,,Arizona State
"Set 1: 1-0, 0-15 Sara Svetac Serving",7,1,2,Elise Wagle,Sara Svetac,0-15,1-0,0-0,,Ad,Sara Svetac,Elise Wagle,306945,340048,,Sara Svetac,8,5 - 8,0,1,2nd Serve In,Wide,Wide,Wide,False,Crosscourt,Backhand,Long,,Down the Line,Forehand,Elise Wagle,Error,False,,,0,0,1,0,0,15,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,2nd Serve In,Ad: Wide,,,,,,,Arizona State
"Set 1: 1-0, 15-15 Sara Svetac Serving",8,1,2,Elise Wagle,Sara Svetac,15-15,1-0,0-0,,Deuce,Sara Svetac,Elise Wagle,357542,379677,,Sara Svetac,5,5 - 8,0,1,2nd Serve In,Body,T,Body,False,Crosscourt,Forehand,,,Crosscourt,Backhand,Sara Svetac,Winner,False,Elise Wagle,,0,0,1,0,15,15,,,,,Crosscourt,Forehand,,,,2nd Serve In,Deuce: Body,,,Crosscourt,Backhand,Winner,,Arizona State
"Set 1: 1-0, 30-15 Sara Svetac Serving",9,1,2,Elise Wagle,Sara Svetac,30-15,1-0,0-0,,Ad,Sara Svetac,Elise Wagle,406430,424686,,Sara Svetac,2,1 - 4,0,1,2nd Serve In,Wide,Wide,Wide,False,Down the Line,Backhand,Long,Long,Down the Line,Backhand,Elise Wagle,Error,False,,,0,0,1,0,30,15,,,,,Down the Line,Backhand,Down the Line,Backhand,Error,2nd Serve In,Ad: Wide,,,,,,,Arizona State
"Set 1: 1-0, 40-15 Sara Svetac Serving",10,1,2,Elise Wagle,Sara Svetac,40-15,1-0,0-0,,Deuce,Sara Svetac,Elise Wagle,442354,475173,,Elise Wagle,8,5 - 8,0,1,2nd Serve In,T,T,T,False,Down the Line,Forehand,,,Crosscourt,Forehand,Elise Wagle,Winner,False,Elise Wagle,,0,0,1,0,40,15,,,,,Down the Line,Forehand,Crosscourt,Forehand,Winner,2nd Serve In,Deuce: T,,,,,,,Arizona State
"Set 1: 1-0, 40-30 Sara Svetac Serving",11,1,2,Elise Wagle,Sara Svetac,40-30,1-0,0-0,,Ad,Sara Svetac,Elise Wagle,494951,508713,,Sara Svetac,6,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Backhand,Wide Right,,Down the Line,Forehand,Elise Wagle,Error,False,,,0,0,1,0,40,30,,,,,Crosscourt,Backhand,Down the Line,Forehand,Error,1st Serve In,Ad: Wide,,,,,,,Arizona State
"Set 1: 1-1, 0-0 Elise Wagle Serving",12,1,3,Elise Wagle,Sara Svetac,0-0,1-1,0-0,,Deuce,Elise Wagle,Sara Svetac,538490,544484,,Elise Wagle,2,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Down the Line,Forehand,Long,Long,Down the Line,Forehand,Sara Svetac,Error,False,,,0,0,1,1,0,0,,,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Down the Line,Forehand,Error,,Arizona State
